id,season,winner
521,2015,Chennai Super Kings
522,2015,Royal Challengers Bangalore
523,2015,Rajasthan Royals
524,2015,Kings XI Punjab
525,2015,Sunrisers Hyderabad
526,2015,Rajasthan Royals
527,2015,Kolkata Knight Riders
528,2015,Delhi Daredevils
529,2015,Rajasthan Royals
530,2015,Chennai Super Kings
531,2015,Delhi Daredevils
532,2015,Kolkata Knight Riders
533,2015,Rajasthan Royals
534,2015,Mumbai Indians
535,2015,Kolkata Knight Riders
536,2015,Kings XI Punjab
537,2015,Sunrisers Hyderabad
538,2015,Chennai Super Kings
539,2015,Delhi Daredevils
540,2015,Royal Challengers Bangalore
541,2015,Mumbai Indians
542,2015,Chennai Super Kings
543,2015,Royal Challengers Bangalore
544,2015,Sunrisers Hyderabad
545,2015,Kolkata Knight Riders
546,2015,
547,2015,Chennai Super Kings
548,2015,Delhi Daredevils
549,2015,Mumbai Indians
550,2015,Royal Challengers Bangalore
551,2015,Sunrisers Hyderabad
552,2015,Mumbai Indians
553,2015,Rajasthan Royals
554,2015,Chennai Super Kings
555,2015,Kolkata Knight Riders
556,2015,Mumbai Indians
557,2015,Royal Challengers Bangalore
558,2015,Sunrisers Hyderabad
559,2015,Mumbai Indians
560,2015,Kolkata Knight Riders
561,2015,Sunrisers Hyderabad
562,2015,Royal Challengers Bangalore
563,2015,Chennai Super Kings
564,2015,Sunrisers Hyderabad
565,2015,Delhi Daredevils
566,2015,Kings XI Punjab
567,2015,Mumbai Indians
568,2015,Royal Challengers Bangalore
569,2015,Chennai Super Kings
570,2015,Rajasthan Royals
571,2015,
572,2015,Mumbai Indians
573,2015,Mumbai Indians
574,2015,Royal Challengers Bangalore
575,2015,Chennai Super Kings
576,2015,Mumbai Indians
577,2016,Rising Pune Supergiants
578,2016,Kolkata Knight Riders
579,2016,Gujarat Lions
580,2016,Royal Challengers Bangalore
581,2016,Mumbai Indians
582,2016,Gujarat Lions
583,2016,Delhi Daredevils
584,2016,Kolkata Knight Riders
585,2016,Gujarat Lions
586,2016,Kings XI Punjab
587,2016,Delhi Daredevils
588,2016,Sunrisers Hyderabad
589,2016,Kolkata Knight Riders
590,2016,Mumbai Indians
591,2016,Sunrisers Hyderabad
592,2016,Royal Challengers Bangalore
593,2016,Delhi Daredevils
594,2016,Sunrisers Hyderabad
595,2016,Gujarat Lions
596,2016,Kolkata Knight Riders
597,2016,Mumbai Indians
598,2016,Rising Pune Supergiants
599,2016,Gujarat Lions
600,2016,Mumbai Indians
601,2016,Gujarat Lions
602,2016,Delhi Daredevils
603,2016,Sunrisers Hyderabad
604,2016,Kings XI Punjab
605,2016,Mumbai Indians
606,2016,Kolkata Knight Riders
607,2016,Delhi Daredevils
608,2016,Kolkata Knight Riders
609,2016,Rising Pune Supergiants
610,2016,Sunrisers Hyderabad
